,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
10,Aarón Martín,24,Defender,Mainz 05,1797,797,1000,Spain,22,9,13,0,0,0,0,0,0,0,0,2,0,2,48,20,28,2,0,0.0,0.0,0.0,0.0,0.0,0,2.4,37,82,899,0,0.1,296,300,142,24,1.3,1.4,0.8,,1.3,0.6,0.2,0,0,0,0.4,1.5,0.9,0.5,0.1,0.7,0.7,0,1.5,27.3,79.7,1.5,0.9,0.0
11,Abdallah Ali Mohamed,22,Forward,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,Abdallah N'Dour,27,Defender,Strasbourg,373,174,199,Senegal,6,2,4,0,0,0,0,0,0,0,0,2,1,1,4,2,2,2,1,0.0,0.0,0.0,0.0,0.0,0,0.97,93,62,187,0,0.48,341,343,51,14,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,Abdallahi Mohamed Mahmoud,21,Defender,Deportivo Alavés,150,25,125,Mauritania,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0,1.8,50,50,150,0,0.6,-1,-1,-1,20,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,Abdelhamid Sabiri,24,Midfielder,Paderborn,1037,580,457,Morocco,24,12,12,4,3,1,1,1,0,1,0,4,1,3,23,14,9,6,0,0.43,0.09,0.35,0.47,0.2,259,2.0,45,43,173,1037,0.52,55,171,-1,4,0.8,0.3,1.1,,0.8,0.8,0.1,0,4,1,1.8,0.3,1.0,1.1,0.0,1.1,1.2,1,0.3,18.0,79.6,0.0,1.5,0.0
15,Abdou Diallo,24,Defender,PSG,1203,434,769,France,16,7,9,0,0,0,1,1,0,0,0,9,5,4,8,1,7,4,0,0.07,0.07,0.0,0.0,0.0,0,0.6,150,75,301,1203,0.3,354,170,6,27,1.3,0.6,1.5,,1.6,0.4,0.3,0,0,1,0.3,0.3,1.0,0.4,0.0,0.2,0.9,1,0.3,64.6,92.6,0.1,3.1,0.0
16,Abdoulaye Bamba,31,Defender,Angers SCO,553,373,180,Côte d'Ivoire,7,5,2,0,0,0,0,0,0,0,0,5,4,1,2,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0,0.33,277,79,277,0,0.33,253,245,2,15,1.4,0.6,0.6,,2.1,1.0,0.1,0,0,0,0.1,0.4,0.1,0.3,0.0,0.4,0.4,0,0.4,29.6,76.3,0.4,0.9,0.0
17,Abdoulaye Doucouré,28,Midfielder,Watford,3166,1655,1511,France,37,19,18,4,1,3,2,1,1,0,0,9,7,2,57,25,32,9,0,0.17,0.06,0.11,0.05,0.18,792,1.62,56,86,352,1583,0.26,141,199,-1,3,1.7,0.8,1.4,0.0,0.8,1.1,0.2,1,4,2,1.6,1.0,1.1,0.4,0.2,0.8,1.6,2,1.0,45.4,78.4,0.1,1.1,0.0
18,Abdoulaye Jules Keita,22,Midfielder,Dijon,156,134,22,Guinea,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.15,78,52,0,0,0.0,-1,-1,-1,22,1.3,1.0,1.0,,0.0,1.7,0.0,0,0,0,1.0,0.3,3.0,0.7,0.0,1.3,3.0,0,0.3,11.7,74.3,0.0,0.0,0.3
19,Abdoulaye Touré,27,Midfielder,Nantes,2220,1167,1053,France,27,14,13,3,3,0,0,0,0,2,0,10,7,3,21,9,12,3,0,0.12,0.0,0.12,0.23,0.0,740,0.85,106,82,740,0,0.12,124,361,-1,4,1.2,1.1,1.1,,0.7,0.7,0.4,0,3,0,1.3,0.6,1.1,2.0,0.0,1.2,1.4,0,0.6,49.1,84.3,0.1,2.4,0.0
20,Abdoulaye Traorè,21,Forward,Hellas Verona,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,Abdul Majeed Waris,29,Forward,Strasbourg,371,243,128,Ghana,7,3,4,2,1,1,1,0,1,0,0,3,2,1,3,1,2,1,0,0.73,0.24,0.49,0.37,0.7,186,0.73,124,53,371,371,0.24,20,33,-1,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,Abdul Rahman Baba,26,Defender,RCD Mallorca,109,90,19,Ghana,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.83,109,55,109,0,0.83,-1,-1,-1,18,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,Abdón Prats Bastidas,28,Forward,RCD Mallorca,260,124,136,Spain,20,9,11,0,0,0,0,0,0,0,1,1,1,0,4,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0,1.38,65,13,260,0,0.35,-1,-1,-1,10,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,Achraf Hakimi Mouh,22,Defender,Borussia Dortmund,2715,1344,1371,Morocco,33,17,16,5,0,5,10,6,4,0,0,14,9,5,34,11,23,5,0,0.5,0.33,0.17,0.0,0.33,543,1.13,80,82,543,272,0.17,114,21,35,7,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,Adalberto Peñaranda Maestre,23,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,Adam Bodzek,35,Defender,Fortuna Düsseldorf,2017,1002,1015,Germany,28,15,13,0,0,0,0,0,0,0,0,4,3,1,44,18,26,10,0,0.0,0.0,0.0,0.0,0.0,0,1.96,46,72,202,0,0.45,241,255,126,16,1.5,0.9,1.1,,1.4,1.1,0.4,0,0,0,0.3,0.3,0.1,1.2,0.0,0.4,0.6,0,0.3,25.2,80.9,0.0,2.1,0.0
27,Adam David Lallana,32,Midfielder,Liverpool,373,198,175,England,15,9,6,1,0,1,1,1,0,0,0,6,4,2,5,3,2,1,0,0.48,0.24,0.24,0.0,0.51,373,1.21,75,25,373,373,0.24,76,33,-1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,Adam Marušić,28,Defender,Lazio,940,500,440,Montenegro,15,9,6,2,1,1,1,0,1,0,0,7,5,2,10,4,6,3,0,0.29,0.1,0.19,0.18,0.2,470,0.96,94,63,313,940,0.29,109,152,23,7,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,Adam Masina,27,Defender,Watford,1819,935,884,Italy,26,14,12,1,1,0,0,0,0,0,0,7,5,2,27,11,16,3,0,0.05,0.0,0.05,0.1,0.0,1819,1.34,67,70,606,0,0.15,223,289,101,11,1.5,1.1,1.0,0.2,2.3,0.9,0.5,0,1,0,0.6,0.4,0.3,0.5,0.1,0.5,0.6,0,0.4,26.8,63.3,0.5,1.8,0.0
30,Adam Ounas,24,Midfielder,Nice,1131,569,562,Algeria,16,8,8,2,1,1,4,3,1,0,0,2,0,2,14,8,6,3,1,0.48,0.32,0.16,0.16,0.16,566,1.11,81,71,283,283,0.32,105,16,-1,6,0.6,0.7,0.4,,0.4,0.5,0.1,0,2,4,1.3,1.6,2.8,1.8,0.0,1.4,2.1,4,1.6,26.4,82.0,0.6,1.9,0.3
31,Adam Smith,29,Defender,AFC Bournemouth,2060,1031,1029,England,24,12,12,0,0,0,1,1,0,0,0,4,3,1,39,18,21,7,0,0.04,0.04,0.0,0.0,0.0,0,1.7,53,86,294,2060,0.31,363,231,139,25,2.0,1.0,1.0,0.2,2.0,1.1,0.3,0,0,1,0.2,0.4,1.0,1.7,0.1,0.6,1.1,1,0.4,35.0,79.5,0.3,1.1,0.0
32,Adam Uche Idah,20,Forward,Norwich City,219,69,150,Republic of Ireland,12,6,6,0,0,0,0,0,0,0,0,0,0,0,8,1,7,0,0,0.0,0.0,0.0,0.0,0.0,0,3.29,27,18,0,0,0.0,-1,-1,-1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,Adam Webster,26,Defender,Brighton & Hove Albion,2670,1206,1464,England,31,14,17,3,0,3,1,0,1,0,0,7,3,4,42,19,23,4,0,0.13,0.03,0.1,0.0,0.18,890,1.42,64,86,668,2670,0.13,153,255,111,5,1.0,1.5,0.4,0.4,3.5,0.6,0.8,1,3,1,0.5,0.4,0.5,0.6,0.0,0.2,0.6,1,0.4,60.6,83.1,0.1,3.7,0.0
34,Adama Traoré,25,Midfielder,Metz,1034,632,402,Mali,17,11,6,1,1,0,4,2,2,0,0,4,2,2,12,5,7,1,0,0.44,0.35,0.09,0.14,0.0,1034,1.04,86,61,1034,259,0.09,149,15,-1,7,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,Adama Traoré Diarra,25,Midfielder,Wolverhampton Wanderers,2605,1254,1351,Spain,37,19,18,4,2,2,9,4,5,0,0,12,8,4,30,14,16,1,0,0.45,0.31,0.14,0.14,0.13,651,1.04,87,70,2605,289,0.03,119,20,-1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,Ademola Lookman,23,Forward,RB Leipzig,299,132,167,England,11,5,6,0,0,0,0,0,0,0,0,4,0,4,4,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.2,75,27,0,0,0.0,286,280,-1,21,0.5,0.1,0.7,,0.0,0.0,0.0,0,0,0,0.9,0.6,0.7,0.4,0.0,0.8,0.9,0,0.6,11.6,82.0,0.0,0.2,0.0
37,Adil Aouchiche,18,Midfielder,PSG,65,0,65,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,65,0,0,0.0,-1,-1,-1,18,3.0,0.0,1.0,,1.0,1.0,0.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0,0.0,30.0,80.0,0.0,1.0,0.0
38,Adil Taoui,19,Forward,Toulouse,23,11,12,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,12,0,0,0.0,-1,-1,-1,17,1.0,1.0,0.0,,0.0,1.0,0.0,0,0,0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0,0.0,5.5,81.8,0.0,0.5,0.0
39,Admir Mehmedi,30,Forward,Wolfsburg,1205,558,647,Switzerland,21,10,11,2,2,0,2,1,1,0,0,7,3,4,14,8,6,0,0,0.3,0.15,0.15,0.32,0.0,603,1.05,86,57,0,603,0.0,126,102,-1,10,0.7,0.2,1.2,,0.1,0.5,0.0,0,2,2,1.1,0.9,0.3,1.2,0.4,0.9,1.0,2,0.9,24.6,74.9,0.6,0.9,0.0
40,Adnan Januzaj,26,Midfielder,Real Sociedad,1164,537,627,Belgium,24,13,11,3,2,1,3,1,2,0,0,6,5,1,13,4,9,3,0,0.46,0.23,0.23,0.34,0.14,388,1.01,90,49,388,388,0.23,75,35,-1,7,0.3,0.3,1.0,,0.0,1.5,0.0,0,3,3,1.0,1.0,,1.6,0.1,1.3,2.1,3,1.0,17.6,70.4,0.6,1.3,0.1
41,Adrian Mariappa,34,Defender,Watford,1509,590,919,Jamaica,20,8,12,0,0,0,0,0,0,0,0,5,3,2,27,10,17,6,1,0.0,0.0,0.0,0.0,0.0,0,1.61,56,75,252,0,0.36,296,275,127,15,1.0,0.6,1.0,0.4,3.4,1.0,0.4,1,0,0,0.2,0.2,0.1,0.4,0.1,0.2,0.5,0,0.2,23.1,73.2,0.3,1.3,0.0
42,Adrian Oeynhausen,19,Midfielder,Paderborn,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,Adrian Stanilewicz,21,Midfielder,Bayer Leverkusen,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,Adrien Hunou,27,Midfielder,Rennes,1209,634,575,France,23,12,11,8,5,3,1,0,1,1,0,7,2,5,11,5,6,2,0,0.67,0.07,0.6,0.71,0.47,151,0.82,110,53,605,1209,0.15,13,163,-1,2,0.9,0.2,0.8,,0.2,0.7,0.0,0,8,1,1.2,0.6,0.2,1.5,0.2,1.0,1.8,1,0.6,13.2,75.9,0.1,0.2,0.0
45,Adrien Lebeau,21,Defender,Strasbourg,11,11,0,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,6,0,0,0.0,-1,-1,-1,20,0.5,0.0,0.5,,0.0,0.5,0.0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0,0.0,2.0,75.0,0.0,0.0,0.0
46,Adrien Rabiot,26,Midfielder,Juventus,1917,1110,807,France,28,15,13,1,0,1,1,1,0,0,0,9,7,2,20,8,12,7,1,0.09,0.05,0.05,0.0,0.11,1917,0.94,96,68,274,1917,0.33,230,226,-1,12,1.7,1.1,1.8,,0.5,1.3,0.2,0,1,1,0.7,0.5,,1.0,0.0,0.9,1.2,1,0.5,39.0,90.0,0.1,0.9,0.0
47,Adrien Sebastian Perruchet Silva,32,Midfielder,Monaco,1216,452,764,Portugal,22,11,11,0,0,0,2,2,0,0,0,6,3,3,14,6,8,7,0,0.15,0.15,0.0,0.0,0.0,0,1.04,87,55,174,608,0.52,263,89,-1,13,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,Adrien Tameze,26,Midfielder,Atalanta,206,91,115,France,7,2,5,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.87,103,29,0,0,0.0,-1,-1,-1,16,0.6,0.4,0.7,,0.6,0.7,0.1,0,0,0,0.0,0.4,,0.3,0.0,0.4,0.0,0,0.4,28.0,90.3,0.0,0.9,0.0
49,Adrien Tameze,26,Midfielder,Nice,519,162,357,France,8,3,5,1,0,1,0,0,0,0,0,1,0,1,10,3,7,2,0,0.17,0.0,0.17,0.0,0.25,519,1.73,52,65,260,0,0.35,99,276,-1,10,0.8,0.9,1.4,,0.1,1.5,0.3,0,1,0,0.6,0.9,1.0,0.8,0.0,0.9,1.1,0,0.9,28.4,86.3,0.0,1.0,0.1
50,Adrien Thomasson,27,Midfielder,Strasbourg,2082,963,1119,France,25,12,13,7,6,1,1,0,1,0,0,8,4,4,24,12,12,4,0,0.35,0.04,0.3,0.56,0.08,297,1.04,87,83,521,2082,0.17,52,205,-1,2,1.4,0.4,1.1,,0.3,1.2,0.0,0,8,1,2.0,1.6,1.2,1.5,0.3,1.2,2.9,1,1.6,35.4,79.4,0.6,1.2,0.0
51,Adrià Giner Pedrosa,22,Defender,RCD Espanyol,1081,601,480,Spain,20,11,9,1,0,1,0,0,0,0,0,3,1,2,17,10,7,3,0,0.08,0.0,0.08,0.0,0.19,1081,1.42,64,54,360,0,0.25,178,294,142,10,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,Adrián,34,Goalkeeper,CA Osasuna,1453,854,599,Spain,26,14,12,2,1,1,0,0,0,1,0,5,4,1,20,13,7,0,0,0.12,0.0,0.12,0.11,0.15,727,1.24,73,56,0,0,0.0,145,290,104,6,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,Adrián Embarba Blázquez,28,Forward,RCD Espanyol,1381,649,732,Spain,18,9,9,2,0,2,4,3,1,1,0,4,3,1,18,8,10,4,0,0.39,0.26,0.13,0.0,0.25,691,1.17,77,77,345,345,0.26,140,26,-1,8,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,Adrián Guerrero,23,Midfielder,Valencia CF,126,82,44,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0,2.14,42,63,126,0,0.71,-1,-1,-1,28,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,Adrián Marín Gómez,24,Defender,Deportivo Alavés,852,288,564,Spain,12,5,7,0,0,0,0,0,0,0,0,2,2,0,17,5,12,1,0,0.0,0.0,0.0,0.0,0.0,0,1.8,50,71,852,0,0.11,418,347,174,25,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,Adrián San Miguel del Castillo,34,Goalkeeper,Liverpool,873,513,360,Spain,11,7,4,0,0,0,0,0,0,0,0,2,0,2,10,8,2,1,0,0.0,0.0,0.0,0.0,0.0,0,1.03,87,79,873,0,0.1,343,309,44,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,Agustín Maximiliano Rogel Paita,23,Defender,Toulouse,858,420,438,Uruguay,10,5,5,0,0,0,0,0,0,0,0,0,0,0,19,7,12,0,0,0.0,0.0,0.0,0.0,0.0,0,1.99,45,86,0,0,0.0,381,378,158,28,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,Ahmad Toure Ngouyamsa Nounchil,20,Defender,Dijon,54,54,0,Cameroon,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,54,54,0,1.67,-1,-1,-1,12,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,Ahmed Eissa El Mohamady Abdel Fattah,33,Midfielder,Aston Villa,1026,568,458,Egypt,18,11,7,1,0,1,1,0,1,0,0,6,6,0,25,14,11,1,0,0.18,0.09,0.09,0.0,0.2,1026,2.19,41,57,1026,1026,0.09,170,148,-1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,Ahmed Kutucu,21,Forward,Schalke 04,660,393,267,Germany,25,15,10,3,2,1,2,1,1,0,0,4,3,1,17,8,9,2,0,0.68,0.27,0.41,0.46,0.34,220,2.32,39,26,330,330,0.27,40,35,-1,4,0.4,0.1,0.4,,0.2,0.4,0.0,0,3,2,0.6,0.3,0.8,0.2,0.2,0.7,0.8,2,0.3,6.5,71.6,0.0,0.1,0.0
61,Ahmet Gürleyen,22,Defender,Mainz 05,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
